,Date,수입/지출,Amount,Category,year,month,day,Date_new
0, 2565-01-15, 지출,120.0, Coffee,2022,1,15,2022-01-15
1, 2565-01-15, 지출,60.0, Food,2022,1,15,2022-01-15
2, 2565-01-15, 지출,100.0, Beverage,2022,1,15,2022-01-15
3, 2565-01-14, 지출,87.0, Food,2022,1,14,2022-01-14
4, 2565-01-13, 지출,65.0, Coffee,2022,1,13,2022-01-13
5, 2565-01-13, 지출,50.0, Food,2022,1,13,2022-01-13
6, 2565-01-13, 지출,30.0, Transportation,2022,1,13,2022-01-13
7, 2565-01-13, 지출,33.0, Transportation,2022,1,13,2022-01-13
8, 2565-01-13, 지출,26.0, Transportation,2022,1,13,2022-01-13
9, 2565-01-13, 지출,45.0, Transportation,2022,1,13,2022-01-13
10, 2565-01-12, 지출,101.0, Food,2022,1,12,2022-01-12
11, 2565-01-12, 지출,170.0, Food,2022,1,12,2022-01-12
12, 2565-01-12, 지출,100.0, Medical,2022,1,12,2022-01-12
13, 2565-01-12, 지출,10.0, Beverage,2022,1,12,2022-01-12
14, 2565-01-12, 지출,20.0, Cars,2022,1,12,2022-01-12
15, 2565-01-12, 지출,75.0, Coffee,2022,1,12,2022-01-12
16, 2565-01-11, 지출,72.0, Coffee,2022,1,11,2022-01-11
17, 2565-01-11, 지출,140.0, Food,2022,1,11,2022-01-11
18, 2565-01-10, 지출,20.0, Beverage,2022,1,10,2022-01-10
19, 2565-01-09, 지출,65.0, Coffee,2022,1,9,2022-01-09
20, 2565-01-09, 지출,24.0, Beverage,2022,1,9,2022-01-09
21, 2565-01-09, 지출,120.0, Coffee,2022,1,9,2022-01-09
22, 2565-01-09, 지출,60.0, Food,2022,1,9,2022-01-09
23, 2565-01-09, 지출,15.0, Food,2022,1,9,2022-01-09
24, 2565-01-08, 지출,215.0, Medical,2022,1,8,2022-01-08
25, 2565-01-07, 지출,65.0, Food,2022,1,7,2022-01-07
26, 2565-01-06, 지출,60.0, Coffee,2022,1,6,2022-01-06
27, 2565-01-06, 지출,76.0, Food,2022,1,6,2022-01-06
28, 2565-01-06, 지출,55.0, Coffee,2022,1,6,2022-01-06
29, 2565-01-05, 지출,65.0, Coffee,2022,1,5,2022-01-05
30, 2565-01-05, 지출,85.0, Food,2022,1,5,2022-01-05
31, 2565-01-05, 지출,60.0, Coffee,2022,1,5,2022-01-05
32, 2565-01-05, 지출,75.0, Food,2022,1,5,2022-01-05
33, 2565-01-04, 지출,30.0, Food,2022,1,4,2022-01-04
34, 2565-01-04, 지출,97.0, Food,2022,1,4,2022-01-04
35, 2565-01-04, 지출,90.0, Coffee,2022,1,4,2022-01-04
36, 2565-01-04, 지출,75.0, Food,2022,1,4,2022-01-04
37, 2565-01-03, 지출,59.0, Food,2022,1,3,2022-01-03
38, 2565-01-03, 지출,55.0, Beverage,2022,1,3,2022-01-03
39, 2565-01-02, 지출,130.0, Coffee,2022,1,2,2022-01-02
40, 2565-01-02, 지출,46.0, Food,2022,1,2,2022-01-02
41, 2565-01-01, 지출,100.0, Other,2022,1,1,2022-01-01
42, 2565-01-01, 지출,85.0, Coffee,2022,1,1,2022-01-01
43, 2565-01-01, 지출,112.0, Other,2022,1,1,2022-01-01
44, 2564-12-26, 지출,30.0, Transportation,2021,12,26,2021-12-26
45, 2564-12-26, 지출,220.0, Food,2021,12,26,2021-12-26
46, 2564-12-26, 지출,245.0, Food,2021,12,26,2021-12-26
47, 2564-12-26, 지출,40.0, Transportation,2021,12,26,2021-12-26
48, 2564-12-25, 지출,66.0, Food,2021,12,25,2021-12-25
49, 2564-12-24, 지출,75.0, Coffee,2021,12,24,2021-12-24
50, 2564-12-24, 지출,120.0, Other,2021,12,24,2021-12-24
51, 2564-12-24, 지출,44.0, Transportation,2021,12,24,2021-12-24
52, 2564-12-24, 지출,26.0, Transportation,2021,12,24,2021-12-24
53, 2564-12-24, 지출,10.0, Beverage,2021,12,24,2021-12-24
54, 2564-12-24, 지출,125.0, Food,2021,12,24,2021-12-24
55, 2564-12-24, 지출,37.0, Transportation,2021,12,24,2021-12-24
57, 2564-12-24, 지출,30.0, Transportation,2021,12,24,2021-12-24
58, 2564-12-23, 지출,55.0, Beverage,2021,12,23,2021-12-23
59, 2564-12-23, 지출,80.0, Food,2021,12,23,2021-12-23
60, 2564-12-22, 지출,75.0, Food,2021,12,22,2021-12-22
61, 2564-12-22, 지출,30.0, Beverage,2021,12,22,2021-12-22
62, 2564-12-22, 지출,60.0, Food,2021,12,22,2021-12-22
63, 2564-12-22, 지출,50.0, Food,2021,12,22,2021-12-22
64, 2564-12-20, 지출,50.0, Food,2021,12,20,2021-12-20
65, 2564-12-20, 지출,55.0, Coffee,2021,12,20,2021-12-20
66, 2564-12-20, 지출,98.0, Food,2021,12,20,2021-12-20
67, 2564-12-19, 지출,80.0, Coffee,2021,12,19,2021-12-19
68, 2564-12-19, 지출,46.0, Transportation,2021,12,19,2021-12-19
69, 2564-12-19, 지출,35.0, Transportation,2021,12,19,2021-12-19
70, 2564-12-19, 지출,157.0, Transportation,2021,12,19,2021-12-19
71, 2564-12-18, 지출,320.0, Phone,2021,12,18,2021-12-18
72, 2564-12-18, 지출,48.0, Food,2021,12,18,2021-12-18
73, 2564-12-18, 지출,35.0, Beverage,2021,12,18,2021-12-18
74, 2564-12-16, 지출,76.0, Coffee,2021,12,16,2021-12-16
75, 2564-12-16, 지출,55.0, Beverage,2021,12,16,2021-12-16
76, 2564-12-15, 지출,70.0, Coffee,2021,12,15,2021-12-15
77, 2564-12-15, 지출,20.0, Cars,2021,12,15,2021-12-15
78, 2564-12-15, 지출,310.0, Food,2021,12,15,2021-12-15
79, 2564-12-13, 지출,32.0, Coffee,2021,12,13,2021-12-13
80, 2564-12-13, 지출,30.0, Food,2021,12,13,2021-12-13
81, 2564-12-13, 지출,90.0, Medical,2021,12,13,2021-12-13
82, 2564-12-13, 지출,99.0, Necessaries,2021,12,13,2021-12-13
83, 2564-12-12, 지출,47.0, Food,2021,12,12,2021-12-12
84, 2564-12-12, 지출,65.0, Coffee,2021,12,12,2021-12-12
85, 2564-12-12, 지출,48.0, Food,2021,12,12,2021-12-12
86, 2564-12-11, 지출,45.0, Food,2021,12,11,2021-12-11
87, 2564-12-11, 지출,117.0, Food,2021,12,11,2021-12-11
88, 2564-12-11, 지출,30.0, Transportation,2021,12,11,2021-12-11
89, 2564-12-10, 지출,75.0, Coffee,2021,12,10,2021-12-10
90, 2564-12-09, 지출,170.0, Medical,2021,12,9,2021-12-09
91, 2564-12-09, 지출,77.0, Necessaries,2021,12,9,2021-12-09
92, 2564-12-08, 지출,75.0, Coffee,2021,12,8,2021-12-08
93, 2564-12-08, 지출,50.0, Cultural Life,2021,12,8,2021-12-08
94, 2564-12-07, 지출,85.0, Coffee,2021,12,7,2021-12-07
95, 2564-12-03, 지출,90.0, Fitness,2021,12,3,2021-12-03
96, 2564-12-03, 지출,150.0, Cultural Life,2021,12,3,2021-12-03
97, 2564-12-02, 지출,210.0, Coffee,2021,12,2,2021-12-02
98, 2564-12-02, 지출,37.0, Transportation,2021,12,2,2021-12-02
99, 2564-12-02, 지출,33.0, Transportation,2021,12,2,2021-12-02
100, 2564-12-02, 지출,616.0, Food,2021,12,2,2021-12-02
101, 2564-12-02, 지출,30.0, Transportation,2021,12,2,2021-12-02
102, 2564-12-01, 지출,400.0, Food,2021,12,1,2021-12-01
103, 2564-12-01, 지출,80.0, Coffee,2021,12,1,2021-12-01
104, 2564-12-01, 지출,46.0, Food,2021,12,1,2021-12-01
105, 2564-11-30, 지출,224.0, Food,2021,11,30,2021-11-30
106, 2564-11-28, 지출,120.0, Coffee,2021,11,28,2021-11-28
107, 2564-11-28, 지출,120.0, Food,2021,11,28,2021-11-28
108, 2564-11-28, 지출,60.0, Beverage,2021,11,28,2021-11-28
109, 2564-11-28, 지출,200.0, Clothing,2021,11,28,2021-11-28
110, 2564-11-28, 지출,170.0, Food,2021,11,28,2021-11-28
112, 2564-11-28, 지출,75.0, Clothing,2021,11,28,2021-11-28
113, 2564-11-28, 지출,15.0, Other,2021,11,28,2021-11-28
114, 2564-11-28, 지출,20.0, Cars,2021,11,28,2021-11-28
115, 2564-11-27, 지출,60.0, Necessaries,2021,11,27,2021-11-27
116, 2564-11-27, 지출,120.0, Coffee,2021,11,27,2021-11-27
117, 2564-11-25, 지출,27.0, Other,2021,11,25,2021-11-25
118, 2564-11-24, 지출,20.0, Beverage,2021,11,24,2021-11-24
119, 2564-11-24, 지출,22.0, Beverage,2021,11,24,2021-11-24
120, 2564-11-23, 지출,100.0, Other,2021,11,23,2021-11-23
121, 2564-11-23, 지출,35.0, Food,2021,11,23,2021-11-23
123, 2564-11-22, 지출,95.0, Coffee,2021,11,22,2021-11-22
124, 2564-11-22, 지출,124.0, Food,2021,11,22,2021-11-22
125, 2564-11-21, 지출,65.0, Coffee,2021,11,21,2021-11-21
126, 2564-11-21, 지출,60.0, Food,2021,11,21,2021-11-21
127, 2564-11-20, 지출,90.0, Coffee,2021,11,20,2021-11-20
128, 2564-11-20, 지출,52.0, Food,2021,11,20,2021-11-20
129, 2564-11-19, 지출,100.0, Food,2021,11,19,2021-11-19
130, 2564-11-19, 지출,279.0, Necessaries,2021,11,19,2021-11-19
131, 2564-11-19, 지출,75.0, Coffee,2021,11,19,2021-11-19
132, 2564-11-19, 지출,80.0, Coffee,2021,11,19,2021-11-19
133, 2564-11-19, 지출,345.0, Food,2021,11,19,2021-11-19
134, 2564-11-19, 지출,70.0, Other,2021,11,19,2021-11-19
135, 2564-11-18, 지출,45.0, Coffee,2021,11,18,2021-11-18
136, 2564-11-18, 지출,45.0, Food,2021,11,18,2021-11-18
137, 2564-11-17, 지출,65.0, Coffee,2021,11,17,2021-11-17
138, 2564-11-17, 지출,319.0, Phone,2021,11,17,2021-11-17
140, 2564-11-16, 지출,54.0, Food,2021,11,16,2021-11-16
141, 2564-11-16, 지출,63.0, Beverage,2021,11,16,2021-11-16
142, 2564-11-15, 지출,60.0, Coffee,2021,11,15,2021-11-15
144, 2564-11-14, 지출,75.0, Coffee,2021,11,14,2021-11-14
145, 2564-11-14, 지출,85.0, Beverage,2021,11,14,2021-11-14
146, 2564-11-13, 지출,25.0, Other,2021,11,13,2021-11-13
147, 2564-11-13, 지출,100.0, Other,2021,11,13,2021-11-13
148, 2564-11-13, 지출,65.0, Coffee,2021,11,13,2021-11-13
149, 2564-11-13, 지출,160.0, Coffee,2021,11,13,2021-11-13
150, 2564-11-13, 지출,85.0, Food,2021,11,13,2021-11-13
151, 2564-11-11, 지출,40.0, Beverage,2021,11,11,2021-11-11
152, 2564-11-11, 지출,129.0, Transportation,2021,11,11,2021-11-11
153, 2564-11-10, 지출,150.0, Other,2021,11,10,2021-11-10
154, 2564-11-10, 지출,213.0, Food,2021,11,10,2021-11-10
155, 2564-11-10, 지출,150.0, Necessaries,2021,11,10,2021-11-10
156, 2564-11-10, 지출,2000.0, Beauty,2021,11,10,2021-11-10
157, 2564-11-09, 지출,103.0, Beverage,2021,11,9,2021-11-09
158, 2564-11-09, 지출,300.0, Beauty,2021,11,9,2021-11-09
159, 2564-11-08, 지출,60.0, Coffee,2021,11,8,2021-11-08
160, 2564-11-08, 지출,100.0, Food,2021,11,8,2021-11-08
161, 2564-11-08, 지출,1390.0, Other,2021,11,8,2021-11-08
162, 2564-11-08, 지출,100.0, Other,2021,11,8,2021-11-08
163, 2564-11-07, 지출,60.0, Coffee,2021,11,7,2021-11-07
164, 2564-11-07, 지출,50.0, Cultural Life,2021,11,7,2021-11-07
165, 2564-11-07, 지출,80.0, Coffee,2021,11,7,2021-11-07
166, 2564-11-07, 지출,185.0, Food,2021,11,7,2021-11-07
167, 2564-11-07, 지출,60.0, Necessaries,2021,11,7,2021-11-07
168, 2564-11-07, 지출,695.0, Transportation,2021,11,7,2021-11-07
170, 2564-11-06, 지출,90.0, Food,2021,11,6,2021-11-06
171, 2564-11-06, 지출,85.0, Coffee,2021,11,6,2021-11-06
172, 2564-11-06, 지출,55.0, Food,2021,11,6,2021-11-06
173, 2564-11-05, 지출,284.0, Food,2021,11,5,2021-11-05
174, 2564-11-05, 지출,45.0, Food,2021,11,5,2021-11-05
175, 2564-11-05, 지출,10.0, Beverage,2021,11,5,2021-11-05
176, 2564-11-05, 지출,57.0, Transportation,2021,11,5,2021-11-05
178, 2564-11-04, 지출,110.0, Coffee,2021,11,4,2021-11-04
179, 2564-11-04, 지출,62.0, Food,2021,11,4,2021-11-04
180, 2564-11-03, 지출,80.0, Coffee,2021,11,3,2021-11-03
181, 2564-11-03, 지출,100.0, Beauty,2021,11,3,2021-11-03
182, 2564-11-03, 지출,100.0, Other,2021,11,3,2021-11-03
183, 2564-11-02, 지출,20.0, Coffee,2021,11,2,2021-11-02
184, 2564-11-02, 지출,110.0, Other,2021,11,2,2021-11-02
185, 2564-11-02, 지출,85.0, Medical,2021,11,2,2021-11-02
187, 2564-11-01, 지출,135.0, Food,2021,11,1,2021-11-01
188, 2564-10-31, 지출,50.0, Coffee,2021,10,31,2021-10-31
189, 2564-10-30, 지출,65.0, Coffee,2021,10,30,2021-10-30
190, 2564-10-29, 지출,29.0, Other,2021,10,29,2021-10-29
191, 2564-10-29, 지출,50.0, Coffee,2021,10,29,2021-10-29
192, 2564-10-26, 지출,90.0, Coffee,2021,10,26,2021-10-26
193, 2564-10-26, 지출,168.0, Food,2021,10,26,2021-10-26
194, 2564-10-26, 지출,42.0, Coffee,2021,10,26,2021-10-26
195, 2564-10-25, 지출,17.0, Beverage,2021,10,25,2021-10-25
196, 2564-10-25, 지출,79.0, Phone,2021,10,25,2021-10-25
197, 2564-10-25, 지출,70.0, Necessaries,2021,10,25,2021-10-25
198, 2564-10-24, 지출,75.0, Coffee,2021,10,24,2021-10-24
199, 2564-10-24, 지출,50.0, Food,2021,10,24,2021-10-24
200, 2564-10-23, 지출,81.0, Coffee,2021,10,23,2021-10-23
201, 2564-10-23, 지출,139.0, Clothing,2021,10,23,2021-10-23
202, 2564-10-23, 지출,52.0, Food,2021,10,23,2021-10-23
203, 2564-10-22, 지출,30.0, Food,2021,10,22,2021-10-22
204, 2564-10-21, 지출,215.0, Medical,2021,10,21,2021-10-21
205, 2564-10-20, 지출,40.0, Coffee,2021,10,20,2021-10-20
206, 2564-10-19, 지출,45.0, Other,2021,10,19,2021-10-19
207, 2564-10-19, 지출,20.0, Other,2021,10,19,2021-10-19
208, 2564-10-18, 지출,40.0, Coffee,2021,10,18,2021-10-18
209, 2564-10-17, 지출,26.0, Food,2021,10,17,2021-10-17
210, 2564-10-17, 지출,33.0, Coffee,2021,10,17,2021-10-17
211, 2564-10-17, 지출,320.0, Phone,2021,10,17,2021-10-17
212, 2564-10-16, 지출,50.0, Coffee,2021,10,16,2021-10-16
213, 2564-10-16, 지출,250.0, Food,2021,10,16,2021-10-16
214, 2564-10-16, 지출,82.0, Coffee,2021,10,16,2021-10-16
215, 2564-10-15, 지출,75.0, Beverage,2021,10,15,2021-10-15
216, 2564-10-15, 지출,10.0, Other,2021,10,15,2021-10-15
217, 2564-10-14, 지출,33.0, Coffee,2021,10,14,2021-10-14
218, 2564-10-13, 지출,32.0, Coffee,2021,10,13,2021-10-13
219, 2564-10-12, 지출,35.0, Food,2021,10,12,2021-10-12
220, 2564-10-11, 지출,30.0, Transportation,2021,10,11,2021-10-11
221, 2564-10-11, 지출,70.0, Coffee,2021,10,11,2021-10-11
222, 2564-10-11, 지출,42.0, Transportation,2021,10,11,2021-10-11
223, 2564-10-10, 지출,100.0, Coffee,2021,10,10,2021-10-10
224, 2564-10-10, 지출,80.0, Food,2021,10,10,2021-10-10
225, 2564-10-10, 지출,59.0, Food,2021,10,10,2021-10-10
226, 2564-10-08, 지출,100.0, Necessaries,2021,10,8,2021-10-08
227, 2564-10-08, 지출,89.0, Food,2021,10,8,2021-10-08
228, 2564-10-08, 지출,35.0, Food,2021,10,8,2021-10-08
229, 2564-10-08, 지출,60.0, Food,2021,10,8,2021-10-08
230, 2564-10-07, 지출,60.0, Coffee,2021,10,7,2021-10-07
231, 2564-10-07, 지출,33.0, Coffee,2021,10,7,2021-10-07
232, 2564-10-06, 지출,65.0, Coffee,2021,10,6,2021-10-06
233, 2564-10-06, 지출,85.0, Food,2021,10,6,2021-10-06
234, 2564-10-06, 지출,28.0, Food,2021,10,6,2021-10-06
235, 2564-10-05, 지출,35.0, Coffee,2021,10,5,2021-10-05
236, 2564-10-05, 지출,50.0, Cultural Life,2021,10,5,2021-10-05
237, 2564-10-05, 지출,45.0, Necessaries,2021,10,5,2021-10-05
238, 2564-10-03, 지출,65.0, Coffee,2021,10,3,2021-10-03
239, 2564-10-02, 지출,32.0, Coffee,2021,10,2,2021-10-02
240, 2564-10-01, 지출,85.0, Medical,2021,10,1,2021-10-01
241, 2564-10-01, 지출,20.0, Beverage,2021,10,1,2021-10-01
242, 2564-10-01, 지출,50.0, Food,2021,10,1,2021-10-01
243, 2564-09-30, 지출,40.0, Coffee,2021,9,30,2021-09-30
244, 2564-09-30, 지출,125.0, Food,2021,9,30,2021-09-30
245, 2564-09-30, 지출,60.0, Coffee,2021,9,30,2021-09-30
246, 2564-09-28, 지출,70.0, Coffee,2021,9,28,2021-09-28
247, 2564-09-28, 지출,100.0, Coffee,2021,9,28,2021-09-28
248, 2564-09-28, 지출,79.0, Other,2021,9,28,2021-09-28
249, 2564-09-27, 지출,65.0, Coffee,2021,9,27,2021-09-27
250, 2564-09-26, 지출,95.0, Coffee,2021,9,26,2021-09-26
251, 2564-09-26, 지출,20.0, Other,2021,9,26,2021-09-26
252, 2564-09-25, 지출,65.0, Coffee,2021,9,25,2021-09-25
253, 2564-09-25, 지출,80.0, Food,2021,9,25,2021-09-25
254, 2564-09-25, 지출,116.0, Necessaries,2021,9,25,2021-09-25
255, 2564-09-24, 지출,75.0, Coffee,2021,9,24,2021-09-24
256, 2564-09-23, 지출,75.0, Coffee,2021,9,23,2021-09-23
257, 2564-09-22, 지출,100.0, Coffee,2021,9,22,2021-09-22
258, 2564-09-22, 지출,189.0, Food,2021,9,22,2021-09-22
259, 2564-09-22, 지출,8.0, Beverage,2021,9,22,2021-09-22
260, 2564-09-22, 지출,60.0, Food,2021,9,22,2021-09-22
261, 2564-09-22, 지출,35.0, Food,2021,9,22,2021-09-22
262, 2564-09-22, 지출,90.0, Food,2021,9,22,2021-09-22
263, 2564-09-22, 지출,60.0, Cars,2021,9,22,2021-09-22
265, 2564-09-21, 지출,34.0, Beverage,2021,9,21,2021-09-21
266, 2564-09-18, 지출,130.0, Coffee,2021,9,18,2021-09-18
267, 2564-09-18, 지출,60.0, Other,2021,9,18,2021-09-18
268, 2564-09-17, 지출,85.0, Coffee,2021,9,17,2021-09-17
269, 2564-09-17, 지출,125.0, Food,2021,9,17,2021-09-17
270, 2564-09-16, 지출,75.0, Coffee,2021,9,16,2021-09-16
271, 2564-09-15, 지출,75.0, Coffee,2021,9,15,2021-09-15
272, 2564-09-14, 지출,74.0, Necessaries,2021,9,14,2021-09-14
273, 2564-09-14, 지출,339.0, Medical,2021,9,14,2021-09-14
274, 2564-09-14, 지출,468.0, Phone,2021,9,14,2021-09-14
275, 2564-09-13, 지출,79.0, Coffee,2021,9,13,2021-09-13
276, 2564-09-12, 지출,34.0, Beverage,2021,9,12,2021-09-12
277, 2564-09-11, 지출,75.0, Coffee,2021,9,11,2021-09-11
278, 2564-09-10, 지출,70.0, Coffee,2021,9,10,2021-09-10
279, 2564-09-10, 지출,70.0, Food,2021,9,10,2021-09-10
280, 2564-09-09, 지출,140.0, Coffee,2021,9,9,2021-09-09
281, 2564-09-09, 지출,66.0, Necessaries,2021,9,9,2021-09-09
282, 2564-09-05, 지출,88.0, Necessaries,2021,9,5,2021-09-05
283, 2564-09-05, 지출,35.0, Necessaries,2021,9,5,2021-09-05
284, 2564-09-04, 지출,65.0, Coffee,2021,9,4,2021-09-04
285, 2564-09-03, 지출,65.0, Coffee,2021,9,3,2021-09-03
286, 2564-09-03, 지출,40.0, Food,2021,9,3,2021-09-03
287, 2564-09-02, 지출,34.0, Cultural Life,2021,9,2,2021-09-02
288, 2564-09-02, 지출,100.0, Coffee,2021,9,2,2021-09-02
289, 2564-09-01, 지출,75.0, Coffee,2021,9,1,2021-09-01
290, 2564-08-31, 지출,160.0, Medical,2021,8,31,2021-08-31
291, 2564-08-31, 지출,60.0, Coffee,2021,8,31,2021-08-31
292, 2564-08-29, 지출,138.0, Food,2021,8,29,2021-08-29
293, 2564-08-27, 지출,153.0, Coffee,2021,8,27,2021-08-27
294, 2564-08-27, 지출,500.0, Education,2021,8,27,2021-08-27
295, 2564-08-27, 지출,95.0, Food,2021,8,27,2021-08-27
296, 2564-08-26, 지출,65.0, Coffee,2021,8,26,2021-08-26
297, 2564-08-26, 지출,85.0, Food,2021,8,26,2021-08-26
298, 2564-08-26, 지출,45.0, Cultural Life,2021,8,26,2021-08-26
299, 2564-08-25, 지출,65.0, Coffee,2021,8,25,2021-08-25
300, 2564-08-25, 지출,60.0, Food,2021,8,25,2021-08-25
301, 2564-08-25, 지출,20.0, Beverage,2021,8,25,2021-08-25
302, 2564-08-24, 지출,130.0, Coffee,2021,8,24,2021-08-24
303, 2564-08-23, 지출,120.0, Other,2021,8,23,2021-08-23
304, 2564-08-19, 지출,379.0, Phone,2021,8,19,2021-08-19
305, 2564-08-05, 지출,60.0, Food,2021,8,5,2021-08-05
306, 2564-08-04, 지출,79.0, Other,2021,8,4,2021-08-04
307, 2564-08-02, 지출,85.0, Medical,2021,8,2,2021-08-02
308, 2564-08-02, 지출,75.0, Coffee,2021,8,2,2021-08-02
309, 2564-08-02, 지출,34.0, Cultural Life,2021,8,2,2021-08-02
310, 2564-08-02, 지출,349.0, Phone,2021,8,2,2021-08-02
311, 2564-07-31, 지출,180.0, Cultural Life,2021,7,31,2021-07-31
312, 2564-07-28, 지출,127.0, Necessaries,2021,7,28,2021-07-28
313, 2564-07-28, 지출,20.0, Other,2021,7,28,2021-07-28
314, 2564-07-28, 지출,440.0, Other,2021,7,28,2021-07-28
315, 2564-07-27, 지출,80.0, Medical,2021,7,27,2021-07-27
316, 2564-07-27, 지출,45.0, Cultural Life,2021,7,27,2021-07-27
317, 2564-07-23, 지출,60.0, Food,2021,7,23,2021-07-23
318, 2564-07-20, 지출,90.0, Medical,2021,7,20,2021-07-20
319, 2564-07-20, 지출,43.0, Food,2021,7,20,2021-07-20
320, 2564-07-18, 지출,100.0, Utility Bill,2021,7,18,2021-07-18
321, 2564-07-17, 지출,43.0, Food,2021,7,17,2021-07-17
322, 2564-07-17, 지출,160.0, Necessaries,2021,7,17,2021-07-17
323, 2564-07-16, 지출,144.0, Family Event,2021,7,16,2021-07-16
324, 2564-07-15, 지출,100.0, Food,2021,7,15,2021-07-15
325, 2564-07-15, 지출,200.0, Cultural Life,2021,7,15,2021-07-15
326, 2564-07-13, 지출,317.0, Electronics,2021,7,13,2021-07-13
327, 2564-07-13, 지출,400.0, Electronics,2021,7,13,2021-07-13
328, 2564-07-12, 지출,120.0, Coffee,2021,7,12,2021-07-12
329, 2564-07-11, 지출,60.0, Food,2021,7,11,2021-07-11
330, 2564-07-09, 지출,120.0, Food,2021,7,9,2021-07-09
331, 2564-07-09, 지출,29.0, Food,2021,7,9,2021-07-09
332, 2564-07-07, 지출,29.0, Food,2021,7,7,2021-07-07
333, 2564-07-07, 지출,70.0, Beverage,2021,7,7,2021-07-07
334, 2564-07-03, 지출,50.0, Coffee,2021,7,3,2021-07-03
335, 2564-07-01, 지출,30.0, Food,2021,7,1,2021-07-01
336, 2564-07-01, 지출,35.0, Cultural Life,2021,7,1,2021-07-01
337, 2564-06-30, 지출,45.0, Cultural Life,2021,6,30,2021-06-30
338, 2564-06-28, 지출,50.0, Coffee,2021,6,28,2021-06-28
339, 2564-06-27, 지출,60.0, Coffee,2021,6,27,2021-06-27
340, 2564-06-26, 지출,50.0, Coffee,2021,6,26,2021-06-26
341, 2564-06-25, 지출,50.0, Beverage,2021,6,25,2021-06-25
342, 2564-06-24, 지출,65.0, Coffee,2021,6,24,2021-06-24
343, 2564-06-20, 지출,26.0, Beverage,2021,6,20,2021-06-20
344, 2564-06-20, 지출,65.0, Coffee,2021,6,20,2021-06-20
345, 2564-06-20, 지출,70.0, Coffee,2021,6,20,2021-06-20
346, 2564-06-20, 지출,60.0, Food,2021,6,20,2021-06-20
347, 2564-06-18, 지출,110.0, Coffee,2021,6,18,2021-06-18
348, 2564-06-18, 지출,36.0, Food,2021,6,18,2021-06-18
349, 2564-06-17, 지출,50.0, Coffee,2021,6,17,2021-06-17
350, 2564-06-17, 지출,10.0, Other,2021,6,17,2021-06-17
351, 2564-06-17, 지출,40.0, Other,2021,6,17,2021-06-17
352, 2564-06-17, 지출,46.0, Food,2021,6,17,2021-06-17
353, 2564-06-14, 지출,55.0, Coffee,2021,6,14,2021-06-14
354, 2564-06-13, 지출,320.0, Phone,2021,6,13,2021-06-13
355, 2564-06-12, 지출,210.0, Coffee,2021,6,12,2021-06-12
356, 2564-06-12, 지출,134.0, Food,2021,6,12,2021-06-12
357, 2564-06-12, 지출,45.0, Beverage,2021,6,12,2021-06-12
358, 2564-06-12, 지출,350.0, Beauty,2021,6,12,2021-06-12
359, 2564-06-09, 지출,130.0, Coffee,2021,6,9,2021-06-09
360, 2564-06-08, 지출,148.0, Necessaries,2021,6,8,2021-06-08
361, 2564-06-08, 지출,130.0, Coffee,2021,6,8,2021-06-08
362, 2564-06-08, 지출,39.0, Beverage,2021,6,8,2021-06-08
363, 2564-06-07, 지출,90.0, Cultural Life,2021,6,7,2021-06-07
364, 2564-06-07, 지출,65.0, Coffee,2021,6,7,2021-06-07
365, 2564-06-06, 지출,85.0, Coffee,2021,6,6,2021-06-06
366, 2564-06-06, 지출,240.0, Cultural Life,2021,6,6,2021-06-06
367, 2564-06-04, 지출,230.0, Transportation,2021,6,4,2021-06-04
368, 2564-06-03, 지출,28.0, Pet,2021,6,3,2021-06-03
369, 2564-06-03, 지출,55.0, Coffee,2021,6,3,2021-06-03
370, 2564-06-02, 지출,130.0, Coffee,2021,6,2,2021-06-02
371, 2564-06-02, 지출,34.0, Cultural Life,2021,6,2,2021-06-02
372, 2564-05-30, 지출,120.0, Coffee,2021,5,30,2021-05-30
373, 2564-05-26, 지출,661.17, Other,2021,5,26,2021-05-26
374, 2564-05-25, 지출,100.0, Food,2021,5,25,2021-05-25
375, 2564-05-25, 지출,320.0, Other,2021,5,25,2021-05-25
376, 2564-05-21, 지출,17.0, Beverage,2021,5,21,2021-05-21
377, 2564-05-21, 지출,40.0, Food,2021,5,21,2021-05-21
378, 2564-05-19, 지출,60.0, Food,2021,5,19,2021-05-19
379, 2564-05-18, 지출,65.0, Coffee,2021,5,18,2021-05-18
380, 2564-05-16, 지출,70.0, Coffee,2021,5,16,2021-05-16
381, 2564-05-16, 지출,90.0, Food,2021,5,16,2021-05-16
382, 2564-05-16, 지출,45.0, Coffee,2021,5,16,2021-05-16
383, 2564-05-16, 지출,10.0, Beverage,2021,5,16,2021-05-16
384, 2564-05-16, 지출,10.0, Cars,2021,5,16,2021-05-16
385, 2564-05-15, 지출,20.0, Coffee,2021,5,15,2021-05-15
386, 2564-05-15, 지출,40.0, Food,2021,5,15,2021-05-15
388, 2564-05-14, 지출,78.0, Beverage,2021,5,14,2021-05-14
389, 2564-05-13, 지출,105.0, Coffee,2021,5,13,2021-05-13
390, 2564-05-11, 지출,98.0, Necessaries,2021,5,11,2021-05-11
391, 2564-05-11, 지출,189.0, Education,2021,5,11,2021-05-11
392, 2564-05-10, 지출,65.0, Coffee,2021,5,10,2021-05-10
393, 2564-05-10, 지출,36.0, Beverage,2021,5,10,2021-05-10
